Combination no,Combination,Mean Absolute Error
460,"'Total Docs(2017)', 'Total Docs(3years)', 'Total Refs', 'Total Cites(3years)', 'Citable Docs(3years)', 'Ref/Doc'",0.9787718216728207
39,"'Total Refs', 'Ref/Doc'",0.9793383326553213
106,"'Total Docs(2017)', 'Total Cites(3years)', 'Ref/Doc'",0.9803495700811776
118,"'Total Docs(3years)', 'Citable Docs(3years)', 'Ref/Doc'",0.9827070056564602
245,"'Total Docs(3years)', 'Total Refs', 'Citable Docs(3years)', 'Ref/Doc'",0.9829657476200746
1,'SJR',0.9837386087391373
124,"'Total Refs', 'Citable Docs(3years)', 'Ref/Doc'",0.9990870642518928
152,"'SJR', 'Total Docs(2017)', 'Total Docs(3years)', 'Total Cites(3years)'",1.0372400716356864
291,"'SJR', 'Total Docs(2017)', 'Total Docs(3years)', 'Total Refs', 'Total Cites(3years)'",1.037292489703004
166,"'SJR', 'Total Docs(3years)', 'Total Refs', 'Total Cites(3years)'",1.0412283202209227
60,"'SJR', 'Total Docs(3years)', 'Total Cites(3years)'",1.0515333785109178
160,"'SJR', 'Total Docs(2017)', 'Total Cites(3years)', 'Citable Docs(3years)'",1.0558494624751116
301,"'SJR', 'Total Docs(2017)', 'Total Refs', 'Total Cites(3years)', 'Citable Docs(3years)'",1.0560447734346445
176,"'SJR', 'Total Refs', 'Total Cites(3years)', 'Citable Docs(3years)'",1.0614414731763346
68,"'SJR', 'Total Cites(3years)', 'Citable Docs(3years)'",1.073140973619134
243,"'Total Docs(3years)', 'Total Refs', 'Total Cites(3years)', 'Ref/Doc'",1.0748162578567286
377,"'Total Docs(3years)', 'Total Refs', 'Total Cites(3years)', 'Citable Docs(3years)', 'Ref/Doc'",1.077306782870997
295,"'SJR', 'Total Docs(2017)', 'Total Docs(3years)', 'Total Cites(3years)', 'Citable Docs(3years)'",1.0791432479220509
417,"'SJR', 'Total Docs(2017)', 'Total Docs(3years)', 'Total Refs', 'Total Cites(3years)', 'Citable Docs(3years)'",1.079220089730254
311,"'SJR', 'Total Docs(3years)', 'Total Refs', 'Total Cites(3years)', 'Citable Docs(3years)'",1.081560076193856
170,"'SJR', 'Total Docs(3years)', 'Total Cites(3years)', 'Citable Docs(3years)'",1.093063997400122
252,"'Total Refs', 'Total Cites(3years)', 'Citable Docs(3years)', 'Ref/Doc'",1.1128079222109404
248,"'Total Docs(3years)', 'Total Cites(3years)', 'Citable Docs(3years)', 'Ref/Doc'",1.1368444140954037
