Combination no,Combination,Mean Squared error,Root Mean Squared Error
392,"'SJR', 'H Index', 'Total Docs(2017)', 'Total Refs', 'Total Cites(3years)', 'Citable Docs(3years)'",0.6189265212292305,0.7867188323850082
433,"'SJR', 'Total Docs(3years)', 'Total Refs', 'Total Cites(3years)', 'Citable Docs(3years)', 'Ref/Doc'",0.6310339011596654,0.7943764228372249
318,"'SJR', 'Total Docs(3years)', 'Total Cites(3years)', 'Citable Docs(3years)', 'Ref/Doc'",0.6360926253984038,0.7975541520162778
19,"'H Index', 'Total Docs(3years)'",0.6368590514128357,0.7980344926209867
424,"'SJR', 'Total Docs(2017)', 'Total Docs(3years)', 'Total Cites(3years)', 'Citable Docs(3years)', 'Ref/Doc'",0.6375021842004739,0.7984373389317874
265,"'SJR', 'H Index', 'Total Docs(2017)', 'Total Cites(3years)', 'Citable Docs(3years)'",0.647752420856691,0.8048306783769434
145,"'SJR', 'H Index', 'Total Cites(3years)', 'Citable Docs(3years)'",0.6486432123843281,0.8053838913116701
74,"'H Index', 'Total Docs(2017)', 'Total Docs(3years)'",0.651521627558143,0.8071688965502468
186,"'H Index', 'Total Docs(2017)', 'Total Docs(3years)', 'Total Refs'",0.65350019087177,0.8083935866097467
22,"'H Index', 'Citable Docs(3years)'",0.6547685795130104,0.8091777181268713
77,"'H Index', 'Total Docs(2017)', 'Citable Docs(3years)'",0.6895328593840416,0.830381153076129
348,"'H Index', 'Total Docs(3years)', 'Total Refs', 'Total Cites(3years)', 'Ref/Doc'",0.7124012731774625,0.8440386680582013
466,"'SJR', 'H Index', 'Total Docs(2017)', 'Total Docs(3years)', 'Total Refs', 'Total Cites(3years)', 'Citable Docs(3years)'",0.7289512178772238,0.8537864006162337
207,"'H Index', 'Total Docs(3years)', 'Total Cites(3years)', 'Ref/Doc'",0.7345522861818141,0.8570602581976451
402,"'SJR', 'H Index', 'Total Docs(3years)', 'Total Refs', 'Total Cites(3years)', 'Citable Docs(3years)'",0.735790166830615,0.8577821208387448
86,"'H Index', 'Total Refs', 'Citable Docs(3years)'",0.7361726199961456,0.8580050232930724
192,"'H Index', 'Total Docs(2017)', 'Total Refs', 'Citable Docs(3years)'",0.7456845045378656,0.8635302568745727
357,"'H Index', 'Total Refs', 'Total Cites(3years)', 'Citable Docs(3years)', 'Ref/Doc'",0.7507921387651546,0.8664826246181482
332,"'H Index', 'Total Docs(2017)', 'Total Docs(3years)', 'Total Cites(3years)', 'Ref/Doc'",0.7599974232516761,0.8717783108403627
386,"'SJR', 'H Index', 'Total Docs(2017)', 'Total Docs(3years)', 'Total Cites(3years)', 'Citable Docs(3years)'",0.7665563854812704,0.8755320585114347
218,"'H Index', 'Total Cites(3years)', 'Citable Docs(3years)', 'Ref/Doc'",0.7678342104691686,0.8762614966259608
275,"'SJR', 'H Index', 'Total Docs(3years)', 'Total Cites(3years)', 'Citable Docs(3years)'",0.7790791408507981,0.8826545988385254
14,"'SJR', 'Total Cites(3years)'",0.7922195651812796,0.8900671689155149
13,"'SJR', 'Total Refs'",0.7930500607976458,0.8905335820718081
343,"'H Index', 'Total Docs(2017)', 'Total Cites(3years)', 'Citable Docs(3years)', 'Ref/Doc'",0.8117913342424807,0.9009946360786399
454,"'H Index', 'Total Docs(3years)', 'Total Refs', 'Total Cites(3years)', 'Citable Docs(3years)', 'Ref/Doc'",0.8239365949070393,0.9077095322332135
42,"'Total Cites(3years)', 'Ref/Doc'",0.8259615289415996,0.9088242563563098
11,"'SJR', 'Total Docs(2017)'",0.8320367361202763,0.9121604771750836
353,"'H Index', 'Total Docs(3years)', 'Total Cites(3years)', 'Citable Docs(3years)', 'Ref/Doc'",0.842906184183453,0.9180992234957249
64,"'SJR', 'Total Refs', 'Total Cites(3years)'",0.8577275173371618,0.9261357985399127
53,"'SJR', 'Total Docs(2017)', 'Total Docs(3years)'",0.8615124661787069,0.9281769584398801
445,"'H Index', 'Total Docs(2017)', 'Total Docs(3years)', 'Total Cites(3years)', 'Citable Docs(3years)', 'Ref/Doc'",0.862319629000636,0.9286116674911187
440,"'H Index', 'Total Docs(2017)', 'Total Docs(3years)', 'Total Refs', 'Total Cites(3years)', 'Ref/Doc'",0.8671558968770532,0.9312120579529956
82,"'H Index', 'Total Docs(3years)', 'Citable Docs(3years)'",0.8763981641515436,0.9361613985587868
188,"'H Index', 'Total Docs(2017)', 'Total Docs(3years)', 'Citable Docs(3years)'",0.8775272234167834,0.9367642304319606
56,"'SJR', 'Total Docs(2017)', 'Citable Docs(3years)'",0.8806196542012996,0.9384133706428631
59,"'SJR', 'Total Docs(3years)', 'Total Refs'",0.8849735391564505,0.9407303222265404
54,"'SJR', 'Total Docs(2017)', 'Total Refs'",0.9010681189020598,0.949246079213425
12,"'SJR', 'Total Docs(3years)'",0.9069751507234834,0.9523524298932006
151,"'SJR', 'Total Docs(2017)', 'Total Docs(3years)', 'Total Refs'",0.9092196773533113,0.9535301135010427
65,"'SJR', 'Total Refs', 'Citable Docs(3years)'",0.9095346328013613,0.9536952515355004
157,"'SJR', 'Total Docs(2017)', 'Total Refs', 'Citable Docs(3years)'",0.9220936142985968,0.9602570563649073
15,"'SJR', 'Citable Docs(3years)'",0.9249407864001014,0.9617384189061501
449,"'H Index', 'Total Docs(2017)', 'Total Refs', 'Total Cites(3years)', 'Citable Docs(3years)', 'Ref/Doc'",0.929439379780342,0.9640743642377085
202,"'H Index', 'Total Docs(3years)', 'Total Refs', 'Citable Docs(3years)'",0.9303785481312457,0.9645613241941882
495,"'H Index', 'Total Docs(2017)', 'Total Docs(3years)', 'Total Refs', 'Total Cites(3years)', 'Citable Docs(3years)', 'Ref/Doc'",0.9327779308870788,0.965804292228544
55,"'SJR', 'Total Docs(2017)', 'Total Cites(3years)'",0.9676630346399343,0.9836986503192603
327,"'H Index', 'Total Docs(2017)', 'Total Docs(3years)', 'Total Refs', 'Citable Docs(3years)'",0.9793559645883709,0.9896241531957326
156,"'SJR', 'Total Docs(2017)', 'Total Refs', 'Total Cites(3years)'",0.9991735792974764,0.9995867042420464
153,"'SJR', 'Total Docs(2017)', 'Total Docs(3years)', 'Citable Docs(3years)'",1.004997623433731,1.0024956974639496
1,'SJR',1.0053693081468864,1.0026810600319955
233,"'Total Docs(2017)', 'Total Refs', 'Total Cites(3years)', 'Ref/Doc'",1.005613732845558,1.0028029381915262
167,"'SJR', 'Total Docs(3years)', 'Total Refs', 'Citable Docs(3years)'",1.032661548413332,1.0161995613132944
122,"'Total Refs', 'Total Cites(3years)', 'Ref/Doc'",1.0540838561292731,1.0266858604896014
61,"'SJR', 'Total Docs(3years)', 'Citable Docs(3years)'",1.0558634702995378,1.0275521740036064
292,"'SJR', 'Total Docs(2017)', 'Total Docs(3years)', 'Total Refs', 'Citable Docs(3years)'",1.0765455707219902,1.0375671403441755
152,"'SJR', 'Total Docs(2017)', 'Total Docs(3years)', 'Total Cites(3years)'",1.137054692967127,1.0663276667924955
291,"'SJR', 'Total Docs(2017)', 'Total Docs(3years)', 'Total Refs', 'Total Cites(3years)'",1.1374647730087348,1.066519935588986
166,"'SJR', 'Total Docs(3years)', 'Total Refs', 'Total Cites(3years)'",1.1400837712604177,1.0677470539694398
60,"'SJR', 'Total Docs(3years)', 'Total Cites(3years)'",1.157789668060383,1.0760063513104292
