Title,SJR,H index,Total Docs. (2017),Total Docs. (3years),Total Refs.,Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.,Impact Factor
International Journal of Power Electronics,0.233,9,15,39,398,34,39.0,0.81,26.53,0.87179
International Journal of Antennas and Propagation,0.233,25,224,848,5430,801,811.0,0.87,24.24,0.98767
ETRI Journal,0.232,40,87,390,2122,401,388.0,1.0,24.39,1.03351
Kongzhi Lilun Yu Yinyong/Control Theory and Applications,0.231,29,164,630,4086,498,630.0,0.73,24.91,0.79048
Distributed Generation and Alternative Energy Journal,0.229,9,17,55,349,32,48.0,0.61,20.53,0.66667
Dianji yu Kongzhi Xuebao/Electric Machines and Control,0.229,17,183,598,2838,258,598.0,0.31,15.51,0.43144
Progress in Electromagnetics Research B,0.228,39,79,220,2291,260,220.0,1.38,29.0,1.18182
Russian Microelectronics,0.227,14,90,247,1458,129,244.0,0.56,16.2,0.52869
Ad-Hoc and Sensor Wireless Networks,0.227,13,62,211,2279,199,211.0,0.94,36.76,0.94313
Journal of Electrical Engineering and Technology,0.227,19,262,839,5633,632,838.0,0.69,21.5,0.75418
Shenyang Gongye Daxue Xuebao/Journal of Shenyang University of Technology,0.226,7,108,376,1288,110,376.0,0.3,11.93,0.29255
Tien Tzu Hsueh Pao/Acta Electronica Sinica,0.226,40,381,1195,7084,683,1195.0,0.53,18.59,0.57155
Fujitsu Scientific and Technical Journal,0.225,20,68,183,444,56,171.0,0.24,6.53,0.32749
International Journal of Computer Applications in Technology,0.225,22,62,224,2049,245,219.0,1.24,33.05,1.11872
Chinese Space Science and Technology,0.224,10,84,201,1327,84,201.0,0.4,15.8,0.41791
Transactions on Electrical and Electronic Materials,0.224,13,72,218,1273,112,216.0,0.56,17.68,0.51852
Radioengineering,0.223,32,144,373,3387,424,373.0,1.19,23.52,1.13673
"Integration, the VLSI Journal",0.223,31,133,228,3757,278,222.0,1.17,28.25,1.25225
Annales des Telecommunications,0.223,31,73,154,1995,169,145.0,1.2,27.33,1.16552
Journal of Low Power Electronics and Applications,0.222,10,32,56,1210,62,53.0,1.18,37.81,1.16981
3D Research,0.222,14,41,105,1359,107,105.0,1.05,33.15,1.01905
Journal of Computational and Theoretical Nanoscience,0.221,40,782,2826,21042,1244,2815.0,0.33,26.91,0.44192
COMPEL - The International Journal for Computation and Mathematics in Electrical and Electronic Engineering,0.22,25,135,416,2504,308,414.0,0.8,18.55,0.74396
Journal of Nanoelectronics and Optoelectronics,0.219,18,211,407,5386,334,401.0,1.03,25.53,0.83292
IEICE Transactions on Electronics,0.218,43,142,565,2319,295,517.0,0.58,16.33,0.5706
IEEJ Transactions on Electrical and Electronic Engineering,0.217,21,175,392,3823,320,365.0,0.92,21.85,0.87671
International Journal of Power Electronics and Drive Systems,0.217,11,164,347,3177,303,347.0,0.8,19.37,0.8732
International Journal of Electronics and Telecommunications,0.216,14,60,156,1187,117,156.0,0.75,19.78,0.75
"Optoelectronics and Advanced Materials, Rapid Communications",0.215,23,140,723,3263,291,723.0,0.39,23.31,0.40249
Dianzi Yu Xinxi Xuebao/Journal of Electronics and Information Technology,0.214,22,424,1372,7891,875,1372.0,0.62,18.61,0.63776
Defence Science Journal,0.214,22,120,241,1972,166,234.0,0.64,16.43,0.7094
Automatisierungstechnik,0.212,20,85,275,1722,126,244.0,0.53,20.26,0.51639
Ingegneria Ferroviaria,0.212,8,21,77,369,19,71.0,0.21,17.57,0.26761
International Journal of Security and Networks,0.212,22,23,71,855,55,70.0,0.76,37.17,0.78571
EasternEuropean Journal of Enterprise Technologies,0.212,7,575,997,11850,423,997.0,0.43,20.61,0.42427
Far East Journal of Electronics and Communications,0.211,7,83,148,1218,60,147.0,0.47,14.67,0.40816
Open Engineering,0.211,13,54,200,1429,136,194.0,0.52,26.46,0.70103
Przeglad Elektrotechniczny,0.209,20,569,1968,7388,513,1961.0,0.27,12.98,0.2616
IET Computers and Digital Techniques,0.209,39,26,116,684,130,108.0,0.86,26.31,1.2037
IEEE Consumer Electronics Magazine,0.209,12,107,263,1365,220,263.0,0.9,12.76,0.8365
Xi Tong Gong Cheng Yu Dian Zi Ji Shu/Systems Engineering and Electronics,0.209,24,407,1264,7959,641,1264.0,0.5,19.56,0.50712
Turkish Journal of Electrical Engineering and Computer Sciences,0.208,23,205,627,4855,445,627.0,0.66,23.68,0.70973
International Journal of Modelling and Simulation,0.207,15,32,63,796,31,60.0,0.36,24.88,0.51667
